iter	Passed	Remaining
0	1	118
1	2	108
2	3	101
3	3	93
4	5	108
5	6	105
6	7	101
7	8	99
8	9	98
9	10	95
10	11	92
11	12	90
12	13	87
13	13	85
14	14	83
15	15	81
16	16	80
17	17	78
18	18	78
19	19	77
20	20	75
21	20	74
22	21	73
23	22	71
24	23	70
25	25	71
26	26	70
27	27	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	49
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	74	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
